country,arrivals,arrivals_male,arrivals_female,percentage,male_percentage,female_percentage
SGP,32691215,18744078,13947137,48.75031955325311,49.58144273568228,47.676262250571625
IDN,8072367,3909422,4162945,12.03780498219889,10.34112123427018,14.230422885693738
Other,6099242,3681449,2417793,9.095409776988179,9.351893038269605,8.31178430974478
THA,5468422,3194953,2273469,8.154708228251518,8.451222792217164,7.771523593877713
CHN,3697809,1785022,1912787,5.514306225598997,4.7217028266171885,6.538584559790597
BRN,2450015,1334248,1115767,3.6535507829936393,3.529324878353505,3.8140874433608523
IND,2197873,1514635,683238,3.2775475334112563,4.006480794518681,2.335549874325896
BGD,1136015,1069103,66912,1.6940665639771675,2.8279688749185814,0.22872895417247632
PHL,1083202,394557,688645,1.6153099124863628,1.0436739167145268,2.3540329185513054
KOR,1015552,513543,502009,1.5144277911648527,1.3584131930527865,1.716044858249203
AUS,850047,488230,361817,1.2676207624979416,1.291455775357004,1.2368188667477111
VNM,834658,273870,560788,1.2446721303469184,0.7244351907851272,1.9169723331013067
GBR,751551,453344,298207,1.1207399728204328,1.1991760584631128,1.0193773200160157
JPN,710495,448170,262325,1.059515784010737,1.1854899019760123,0.8967199142649278
